datetime,Average Tone,entity
2017-10-03 00:00:00+00:00,-1.5936,Putin
2017-10-04 00:00:00+00:00,-1.4828,Putin
2017-10-05 00:00:00+00:00,-0.908,Putin
2017-10-06 00:00:00+00:00,-1.3727,Putin
2017-10-07 00:00:00+00:00,-1.2698,Putin
2017-10-08 00:00:00+00:00,-1.7589,Putin
2017-10-09 00:00:00+00:00,-1.4061,Putin
2017-10-10 00:00:00+00:00,-1.5394,Putin
2017-10-11 00:00:00+00:00,-1.1298,Putin
2017-10-12 00:00:00+00:00,-1.3714,Putin
2017-10-13 00:00:00+00:00,-1.641,Putin
2017-10-14 00:00:00+00:00,-1.3461,Putin
2017-10-15 00:00:00+00:00,-1.1875,Putin
2017-10-16 00:00:00+00:00,-1.9651,Putin
2017-10-17 00:00:00+00:00,-2.3499,Putin
2017-10-18 00:00:00+00:00,-1.9341,Putin
2017-10-19 00:00:00+00:00,-2.0058,Putin
2017-10-20 00:00:00+00:00,-1.6613,Putin
2017-10-21 00:00:00+00:00,-1.3448,Putin
2017-10-22 00:00:00+00:00,-2.3966,Putin
2017-10-23 00:00:00+00:00,-2.5728,Putin
2017-10-24 00:00:00+00:00,-2.0306,Putin
2017-10-25 00:00:00+00:00,-1.7317,Putin
2017-10-26 00:00:00+00:00,-2.1949,Putin
2017-10-27 00:00:00+00:00,-1.8913,Putin
2017-10-28 00:00:00+00:00,-1.759,Putin
2017-10-29 00:00:00+00:00,-1.8568,Putin
2017-10-30 00:00:00+00:00,-3.0169,Putin
2017-10-31 00:00:00+00:00,-3.0479,Putin
2017-11-01 00:00:00+00:00,-2.0893,Putin
2017-11-02 00:00:00+00:00,-2.1005,Putin
2017-11-03 00:00:00+00:00,-2.0915,Putin
2017-11-04 00:00:00+00:00,-1.8351,Putin
2017-11-05 00:00:00+00:00,-2.1404,Putin
2017-11-06 00:00:00+00:00,-2.1648,Putin
2017-11-07 00:00:00+00:00,-1.81,Putin
2017-11-08 00:00:00+00:00,-1.7913,Putin
2017-11-09 00:00:00+00:00,-1.4147,Putin
2017-11-10 00:00:00+00:00,-1.3673,Putin
2017-11-11 00:00:00+00:00,-1.5325,Putin
2017-11-12 00:00:00+00:00,-2.2045,Putin
2017-11-13 00:00:00+00:00,-1.8141,Putin
2017-11-14 00:00:00+00:00,-1.6417,Putin
2017-11-15 00:00:00+00:00,-1.6124,Putin
2017-11-16 00:00:00+00:00,-1.616,Putin
2017-11-17 00:00:00+00:00,-1.2006,Putin
2017-11-18 00:00:00+00:00,-1.7331,Putin
2017-11-19 00:00:00+00:00,-1.7989,Putin
2017-11-20 00:00:00+00:00,-1.792,Putin
2017-11-21 00:00:00+00:00,-1.5035,Putin
2017-11-22 00:00:00+00:00,-1.5078,Putin
2017-11-23 00:00:00+00:00,-1.7263,Putin
2017-11-24 00:00:00+00:00,-2.0937,Putin
2017-11-25 00:00:00+00:00,-1.85,Putin
2017-11-26 00:00:00+00:00,-1.8821,Putin
2017-11-27 00:00:00+00:00,-1.6498,Putin
2017-11-28 00:00:00+00:00,-1.2432,Putin
2017-11-29 00:00:00+00:00,-1.3828,Putin
2017-11-30 00:00:00+00:00,-1.302,Putin
2017-12-03 00:00:00+00:00,-1.8092,Putin
2017-12-04 00:00:00+00:00,-2.2526,Putin
2017-12-05 00:00:00+00:00,-1.9615,Putin
2017-12-06 00:00:00+00:00,-1.0795,Putin
2017-12-07 00:00:00+00:00,-1.5582,Putin
2017-12-08 00:00:00+00:00,-1.6768,Putin
2017-12-09 00:00:00+00:00,-1.7022,Putin
2017-12-10 00:00:00+00:00,-1.6025,Putin
2017-12-11 00:00:00+00:00,-1.3634,Putin
2017-12-12 00:00:00+00:00,-1.4483,Putin
2017-12-13 00:00:00+00:00,-1.3829,Putin
2017-12-14 00:00:00+00:00,-1.569,Putin
2017-12-15 00:00:00+00:00,-1.8451,Putin
2017-12-16 00:00:00+00:00,-1.0846,Putin
2017-12-17 00:00:00+00:00,-2.6663,Putin
2017-12-18 00:00:00+00:00,-1.7571,Putin
2017-12-19 00:00:00+00:00,-1.3555,Putin
2017-12-20 00:00:00+00:00,-1.9865,Putin
2017-12-21 00:00:00+00:00,-1.9905,Putin
2017-12-22 00:00:00+00:00,-2.0131,Putin
2017-12-23 00:00:00+00:00,-1.796,Putin
2017-12-24 00:00:00+00:00,-1.5016,Putin
2017-12-25 00:00:00+00:00,-2.1486,Putin
2017-12-26 00:00:00+00:00,-2.2872,Putin
2017-12-27 00:00:00+00:00,-2.4346,Putin
2017-12-28 00:00:00+00:00,-3.8417,Putin
2017-12-29 00:00:00+00:00,-2.7667,Putin
2017-12-30 00:00:00+00:00,-2.2225,Putin
2017-12-31 00:00:00+00:00,-1.5019,Putin
2018-01-01 00:00:00+00:00,-1.1868,Putin
2018-01-02 00:00:00+00:00,-1.788,Putin
2018-01-03 00:00:00+00:00,-2.2286,Putin
2018-01-04 00:00:00+00:00,-2.6295,Putin
2018-01-05 00:00:00+00:00,-1.8642,Putin
2018-01-06 00:00:00+00:00,-1.8292,Putin
2018-01-07 00:00:00+00:00,-1.2291,Putin
2018-01-08 00:00:00+00:00,-1.819,Putin
2018-01-09 00:00:00+00:00,-2.3848,Putin
2018-01-10 00:00:00+00:00,-2.2692,Putin
2018-01-11 00:00:00+00:00,-2.2862,Putin
2018-01-12 00:00:00+00:00,-1.8168,Putin
2018-01-13 00:00:00+00:00,-1.7231,Putin
2018-01-14 00:00:00+00:00,-1.8451,Putin
2018-01-15 00:00:00+00:00,-1.9314,Putin
2018-01-16 00:00:00+00:00,-2.1195,Putin
2018-01-17 00:00:00+00:00,-2.0135,Putin
2018-01-18 00:00:00+00:00,-2.2127,Putin
2018-01-19 00:00:00+00:00,-1.7283,Putin
2018-01-20 00:00:00+00:00,-1.7491,Putin
2018-01-21 00:00:00+00:00,-1.5638,Putin
2018-01-22 00:00:00+00:00,-1.6941,Putin
2018-01-23 00:00:00+00:00,-1.5229,Putin
2018-01-24 00:00:00+00:00,-2.1795,Putin
2018-01-25 00:00:00+00:00,-1.7035,Putin
2018-01-26 00:00:00+00:00,-1.8195,Putin
2018-01-27 00:00:00+00:00,-1.7327,Putin
2018-01-28 00:00:00+00:00,-3.0985,Putin
2018-01-29 00:00:00+00:00,-2.1203,Putin
2018-01-30 00:00:00+00:00,-2.4569,Putin
2018-01-31 00:00:00+00:00,-1.9844,Putin
2018-02-01 00:00:00+00:00,-1.8961,Putin
2018-02-02 00:00:00+00:00,-2.2695,Putin
2018-02-03 00:00:00+00:00,-2.3973,Putin
2018-02-04 00:00:00+00:00,-2.1393,Putin
2018-02-05 00:00:00+00:00,-2.16,Putin
2018-02-06 00:00:00+00:00,-1.8552,Putin
2018-02-07 00:00:00+00:00,-1.5058,Putin
2018-02-08 00:00:00+00:00,-1.8329,Putin
2018-02-09 00:00:00+00:00,-2.0801,Putin
2018-02-10 00:00:00+00:00,-2.7074,Putin
2018-02-11 00:00:00+00:00,-3.4046,Putin
2018-02-12 00:00:00+00:00,-2.7039,Putin
2018-02-13 00:00:00+00:00,-2.7827,Putin
2018-02-14 00:00:00+00:00,-2.4402,Putin
2018-02-15 00:00:00+00:00,-3.2309,Putin
2018-02-16 00:00:00+00:00,-4.5514,Putin
2018-02-17 00:00:00+00:00,-4.0748,Putin
2018-02-18 00:00:00+00:00,-3.3943,Putin
2018-02-19 00:00:00+00:00,-3.3447,Putin
2018-02-20 00:00:00+00:00,-2.3154,Putin
2018-02-21 00:00:00+00:00,-2.8893,Putin
2018-02-22 00:00:00+00:00,-2.7752,Putin
2018-02-23 00:00:00+00:00,-3.1067,Putin
2018-02-24 00:00:00+00:00,-3.1158,Putin
2018-02-25 00:00:00+00:00,-3.1473,Putin
2018-02-26 00:00:00+00:00,-2.8023,Putin
2018-02-27 00:00:00+00:00,-2.864,Putin
2018-02-28 00:00:00+00:00,-2.2178,Putin
2018-03-01 00:00:00+00:00,-1.6573,Putin
2018-03-02 00:00:00+00:00,-1.9052,Putin
2018-03-03 00:00:00+00:00,-1.6425,Putin
2018-03-04 00:00:00+00:00,-2.1316,Putin
2018-03-05 00:00:00+00:00,-1.2589,Putin
2018-03-06 00:00:00+00:00,-2.8833,Putin
2018-03-07 00:00:00+00:00,-2.5759,Putin
2018-03-08 00:00:00+00:00,-2.099,Putin
2018-03-09 00:00:00+00:00,-2.6706,Putin
2018-03-10 00:00:00+00:00,-2.5203,Putin
2018-03-11 00:00:00+00:00,-2.1595,Putin
2018-03-12 00:00:00+00:00,-2.6595,Putin
2018-03-13 00:00:00+00:00,-2.9538,Putin
2018-03-14 00:00:00+00:00,-3.1519,Putin
2018-03-15 00:00:00+00:00,-3.4541,Putin
2018-03-16 00:00:00+00:00,-3.3782,Putin
2018-03-17 00:00:00+00:00,-3.2083,Putin
2018-03-18 00:00:00+00:00,-1.9061,Putin
2018-03-19 00:00:00+00:00,-1.4932,Putin
2018-03-20 00:00:00+00:00,-1.4831,Putin
2018-03-21 00:00:00+00:00,-1.7564,Putin
2018-03-22 00:00:00+00:00,-2.4028,Putin
2018-03-23 00:00:00+00:00,-1.7591,Putin
2018-03-24 00:00:00+00:00,-2.1533,Putin
2018-03-25 00:00:00+00:00,-2.0859,Putin
2018-03-26 00:00:00+00:00,-2.9939,Putin
2018-03-27 00:00:00+00:00,-3.7282,Putin
2018-03-28 00:00:00+00:00,-3.129,Putin
2018-03-29 00:00:00+00:00,-2.8195,Putin
2018-03-30 00:00:00+00:00,-2.9097,Putin
2018-03-31 00:00:00+00:00,-2.8758,Putin
2018-04-01 00:00:00+00:00,-3.2788,Putin
2018-04-02 00:00:00+00:00,-1.8146,Putin
2018-04-03 00:00:00+00:00,-1.7528,Putin
2018-04-04 00:00:00+00:00,-2.3483,Putin
2018-04-05 00:00:00+00:00,-2.7734,Putin
2018-04-06 00:00:00+00:00,-2.7713,Putin
2018-04-07 00:00:00+00:00,-3.0091,Putin
2018-04-08 00:00:00+00:00,-4.5041,Putin
2018-04-09 00:00:00+00:00,-4.6411,Putin
2018-04-10 00:00:00+00:00,-3.4552,Putin
2018-04-11 00:00:00+00:00,-3.1527,Putin
2018-04-12 00:00:00+00:00,-3.1613,Putin
2018-04-13 00:00:00+00:00,-3.2981,Putin
2018-04-14 00:00:00+00:00,-4.1381,Putin
2018-04-15 00:00:00+00:00,-3.2863,Putin
2018-04-16 00:00:00+00:00,-3.4706,Putin
2018-04-17 00:00:00+00:00,-3.2531,Putin
2018-04-18 00:00:00+00:00,-2.4405,Putin
2018-04-19 00:00:00+00:00,-1.7893,Putin
2018-04-20 00:00:00+00:00,-2.2663,Putin
2018-04-21 00:00:00+00:00,-2.4049,Putin
2018-04-22 00:00:00+00:00,-1.5114,Putin
2018-04-23 00:00:00+00:00,-2.1098,Putin
2018-04-24 00:00:00+00:00,-1.8321,Putin
2018-04-25 00:00:00+00:00,-1.7727,Putin
2018-04-26 00:00:00+00:00,-1.883,Putin
2018-04-27 00:00:00+00:00,-1.8308,Putin
2018-04-28 00:00:00+00:00,-1.6241,Putin
2018-04-29 00:00:00+00:00,-1.4106,Putin
2018-04-30 00:00:00+00:00,-1.2791,Putin
2018-05-01 00:00:00+00:00,-2.1167,Putin
2018-05-02 00:00:00+00:00,-2.4406,Putin
2018-05-03 00:00:00+00:00,-1.6994,Putin
2018-05-04 00:00:00+00:00,-2.1577,Putin
2018-05-05 00:00:00+00:00,-4.4743,Putin
2018-05-06 00:00:00+00:00,-3.0534,Putin
2018-05-07 00:00:00+00:00,-0.4191,Putin
2018-05-08 00:00:00+00:00,-0.6351,Putin
